Iteration,Discriminator Loss,Generator Loss
6620,1.300276,0.750612
6630,1.288726,0.587612
6640,1.262376,0.575142
6650,1.185894,0.590780
6660,1.343954,0.564309
6670,1.311870,0.609797
6680,1.318173,0.573481
6690,1.307488,0.697575
6700,1.346296,0.576795
6710,1.373799,0.587056
6720,1.312137,0.721542
6730,1.237960,0.556645
6740,1.379741,0.573628
6750,1.353164,0.665315
6760,1.358761,0.620967
6770,1.223750,0.509513
6780,1.403647,0.596165
6790,1.319043,0.613791
6800,1.308425,0.490069
6810,1.301456,0.534345
6820,1.323024,0.690679
6830,1.258226,0.608697
6840,1.277988,0.509129
6850,1.180249,0.520590
6860,1.275546,0.777243
6870,1.390293,0.593559
6880,1.341527,0.525733
6890,1.332099,0.707121
6900,1.348127,0.574339
6910,1.329198,0.633503
6920,1.367934,0.568802
6930,1.315416,0.532760
6940,1.204769,0.650340
6950,1.153110,0.471143
6960,1.409669,0.560648
6970,1.381838,0.665487
6980,1.233573,0.491626
6990,1.257385,0.588917
7000,1.290429,0.532239
7010,1.242082,0.475897
7020,1.353402,0.559026
7030,1.317094,0.653316
7040,1.163470,0.475052
7050,1.264110,0.627352
7060,1.196811,0.443672
7070,1.343942,0.541671
7080,1.187765,0.482213
7090,1.142254,0.559085
7100,1.126901,0.446924
7110,1.279362,0.553335
7120,1.295288,0.624498
7130,1.429775,0.540610
7140,1.321554,0.638781
7150,1.142555,0.434242
7160,1.246090,0.492295
7170,1.261057,0.495280
7180,1.321317,0.533530
7190,1.345374,0.536739
7200,1.266924,0.480672
7210,1.343738,0.621640
7220,1.361239,0.783767
7230,1.077805,0.415586
7240,1.393292,0.731168
7250,1.301662,0.493532
7260,1.326908,0.813860
7270,1.297895,0.643891
7280,1.292508,0.691405
7290,1.155860,0.466938
7300,1.289113,0.673728
7310,1.351172,0.670489
7320,1.350428,0.568636
7330,1.266333,0.525674
7340,1.321243,0.578189
7350,1.271238,0.618541
7360,1.242801,0.673238
7370,1.292162,0.554245
7380,1.332850,0.633207
7390,1.279699,0.694043
7400,1.350378,0.631615
7410,1.435950,0.913661
7420,1.312808,0.565610
7430,1.290619,0.566973
7440,1.309013,0.788362
7450,1.351444,0.701708
7460,1.272651,0.548462
7470,1.193918,0.457658
7480,1.394184,0.774449
7490,1.315370,0.597123
7500,1.229082,0.437593
7510,1.274454,0.748411
7520,1.321446,0.562743
7530,1.249015,0.503298
7540,1.253191,0.497634
7550,1.209604,0.533431
7560,1.288329,0.522624
7570,1.236825,0.490620
7580,1.340508,0.761345
7590,1.267248,0.558923
7600,1.276756,0.710685
7610,1.306827,0.555928
7620,1.270184,0.521262
7630,1.213769,0.728356
7640,1.329924,0.685146
7650,1.347146,0.663267
7660,1.369613,0.458767
7670,1.282606,0.489668
7680,1.162235,0.477859
7690,1.248268,0.699290
7700,1.177653,0.455463
7710,1.297242,0.614925
7720,1.286019,0.624752
7730,1.214781,0.639311
7740,1.288070,0.740978
7750,1.294723,0.881596
7760,1.165561,0.604753
7770,1.288824,0.648499
7780,1.213202,0.615106
7790,1.155663,0.548845
7800,1.260735,0.573791
7810,1.242974,0.660121
7820,1.279572,0.681429
7830,1.304999,0.567053
7840,1.264082,0.524437
7850,1.330857,0.583951
7860,1.321752,0.567924
7870,1.393984,0.616128
7880,1.208495,0.616489
7890,1.174832,0.485698
7900,1.284063,0.648304
7910,1.247349,0.461339
7920,1.274783,0.592613
7930,1.260879,0.685618
7940,1.265936,0.495083
7950,1.209334,0.480358
7960,1.202674,0.664030
7970,1.251992,0.497698
7980,1.239096,0.470739
7990,1.227446,0.610294
8000,1.238161,0.589411
8010,1.269360,0.597625
8020,1.269542,0.578707
8030,1.309770,0.426437
8040,1.348983,0.970704
8050,1.274192,0.834739
8060,1.269714,0.689304
8070,1.374313,0.917045
8080,1.305018,0.634751
8090,1.277057,0.690739
8100,1.259101,0.466360
8110,1.247706,0.464233
8120,1.282769,0.729504
8130,1.331438,0.616402
8140,1.323188,0.581570
8150,1.301799,0.565801
8160,1.218745,0.507861
8170,1.343091,0.562266
8180,1.262769,0.499737
8190,1.141768,0.485350
8200,1.424110,0.573403
8210,1.262296,0.531240
8220,1.323178,0.682242
8230,1.399240,0.471399
8240,1.267410,0.644331
8250,1.219721,0.644737
8260,1.235102,0.520144
8270,1.297465,0.533905
8280,1.211964,0.658591
8290,1.227270,0.467164
8300,1.269747,0.741214
8310,1.280234,0.524677
8320,1.250018,0.570598
8330,1.354454,0.643767
8340,1.306156,0.637145
8350,1.313222,0.704761
8360,1.254733,0.528805
8370,1.255460,0.722875
8380,1.278945,0.636844
8390,1.200482,0.456629
8400,1.307938,0.689293
8410,1.287415,0.544233
8420,1.174371,0.497432
8430,1.336903,0.528005
8440,1.391514,0.653201
8450,1.144201,0.452823
8460,1.349568,0.447560
8470,1.320537,0.619656
8480,1.248019,0.522233
8490,1.157798,0.426241
8500,1.251165,0.578731
8510,1.297412,0.683844
8520,1.305239,0.670375
8530,1.222985,0.498490
8540,1.129720,0.541635
8550,1.323494,0.484903
8560,1.361072,0.628409
8570,1.121690,0.433509
8580,1.194703,0.456156
8590,1.241232,0.513924
8600,1.250979,0.589568
8610,1.239484,0.467161
8620,1.341900,0.627570
8630,1.344037,0.643107
8640,1.294618,0.548375
8650,1.304731,0.558900
8660,1.307652,0.666312
8670,1.296649,0.617025
8680,1.274846,0.481230
8690,1.224278,0.458627
8700,1.228640,0.525859
8710,1.218475,0.589414
8720,1.357355,0.830442
8730,1.357311,0.614711
8740,1.288290,0.499866
8750,1.231779,0.613444
8760,1.371516,0.481108
8770,1.281682,0.561288
8780,1.230836,0.550268
8790,1.202096,0.476591
8800,1.323167,0.589064
8810,1.304469,0.522156
8820,1.342058,0.565709
8830,1.298982,0.686605
8840,1.166388,0.434046
8850,1.141227,0.598988
8860,1.144517,0.547590
8870,1.150866,0.422503
8880,1.293183,0.488745
8890,1.138351,0.510311
8900,1.298720,0.581692
8910,1.262578,0.578643
8920,1.299884,0.779652
8930,1.326854,0.462204
8940,1.215481,0.570370
8950,1.131699,0.435207
8960,1.322389,0.493929
8970,1.356210,0.765451
8980,1.350382,0.471239
8990,1.327320,0.434790
9000,1.195360,0.418724
9010,1.267236,0.634525
9020,1.285517,0.680388
9030,1.276445,0.615440
9040,1.173226,0.523389
9050,1.248046,0.572808
9060,1.312266,0.598166
9070,1.281946,0.662581
9080,1.107520,0.406490
9090,1.297798,0.590177
9100,1.324648,0.535031
9110,1.344961,0.613619
9120,1.264053,0.513765
9130,1.239306,0.553041
9140,1.219787,0.509219
9150,1.282330,0.531196
9160,1.380600,0.530441
9170,1.219156,0.459428
9180,1.355468,0.667024
9190,1.216754,0.529075
9200,1.240047,0.584791
9210,1.307783,0.502466
9220,1.189977,0.541221
9230,1.300950,0.522492
9240,1.253541,0.457811
9250,1.312535,0.404035
9260,1.196512,0.485059
9270,1.233683,0.605073
9280,1.080069,0.344422
9290,1.230565,0.446385
